USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO
21,77,16112,1683413082,,0,1683413366,1.000.000,0,0,2,0,2023-05-06 22:44:42,2023-05-06 22:49:26,10.0,44,aluno 29,77,Questão 16,False,True
21,79,9886,1682553704,,0,1682553711,667.000,0,0,4,0,2023-04-27 00:01:44,2023-04-27 00:01:51,6.67,9,aluno 29,79,Questão 1,False,True
21,80,10043,1682559688,,0,1682559702,1.000.000,0,0,1,0,2023-04-27 01:41:28,2023-04-27 01:41:42,10.0,4,aluno 29,80,Questão 2,False,True
21,81,10066,1682560106,,0,1682560125,1.000.000,0,0,1,0,2023-04-27 01:48:26,2023-04-27 01:48:45,10.0,2,aluno 29,81,Questão 3,False,True
21,82,10088,1682560696,,0,1682560700,1.000.000,0,0,2,0,2023-04-27 01:58:16,2023-04-27 01:58:20,10.0,3,aluno 29,82,Questão 4,False,True
21,83,10092,1682560825,,0,1682560836,1.000.000,0,0,1,0,2023-04-27 02:00:25,2023-04-27 02:00:36,10.0,2,aluno 29,83,Questão 5,False,True
21,84,10140,1682564689,,0,1682564693,1.000.000,0,0,2,0,2023-04-27 03:04:49,2023-04-27 03:04:53,10.0,7,aluno 29,84,Questão 6,False,True
21,85,10167,1682566626,,0,1682566630,1.000.000,0,0,3,0,2023-04-27 03:37:06,2023-04-27 03:37:10,10.0,9,aluno 29,85,Questão 7,False,True
21,86,10912,1682648005,,0,1682648038,1.000.000,0,0,3,0,2023-04-28 02:13:25,2023-04-28 02:13:58,10.0,18,aluno 29,86,Questão 8,False,True
21,87,11995,1682714025,,0,1682714046,1.000.000,0,0,1,0,2023-04-28 20:33:45,2023-04-28 20:34:06,10.0,32,aluno 29,87,Questão 9,False,True
21,88,12162,1682714725,,0,1682714769,1.000.000,0,0,1,0,2023-04-28 20:45:25,2023-04-28 20:46:09,10.0,4,aluno 29,88,Questão 10,False,True
21,90,12495,1682716246,,0,1682716283,1.000.000,0,0,1,0,2023-04-28 21:10:46,2023-04-28 21:11:23,10.0,16,aluno 29,90,Questão 11,False,True
21,91,14966,1683142288,,0,1683142351,1.000.000,0,0,4,0,2023-05-03 19:31:28,2023-05-03 19:32:31,10.0,100,aluno 29,91,Questão 12,False,True
21,94,16224,1683490562,,0,1683490566,10.000.000,0,0,2,0,2023-05-07 20:16:02,2023-05-07 20:16:06,10.0,22,aluno 29,94,Questão 18,False,True
21,95,16116,1683415160,,0,1683415165,10.000.000,0,0,2,0,2023-05-06 23:19:20,2023-05-06 23:19:25,10.0,4,aluno 29,95,Questão 17,False,True
22,75,15815,1683294129,,0,1683294133,10.000.000,0,0,2,0,2023-05-05 13:42:09,2023-05-05 13:42:13,10.0,2,aluno 21,75,Questão 15,False,True
22,76,15803,1683293676,,0,1683293680,1.000.000,0,0,2,0,2023-05-05 13:34:36,2023-05-05 13:34:40,10.0,9,aluno 21,76,Questão 14,False,True
22,77,16058,1683375750,,0,1683375757,1.000.000,0,0,3,0,2023-05-06 12:22:30,2023-05-06 12:22:37,10.0,7,aluno 21,77,Questão 16,False,True
22,79,8955,1682357108,,0,1682357134,1.000.000,0,0,1,0,2023-04-24 17:25:08,2023-04-24 17:25:34,10.0,1,aluno 21,79,Questão 1,False,True
22,80,9035,1682357391,,0,1682357422,1.000.000,0,0,1,0,2023-04-24 17:29:51,2023-04-24 17:30:22,10.0,1,aluno 21,80,Questão 2,False,True
22,81,9069,1682357624,,0,1682357647,1.000.000,0,0,1,0,2023-04-24 17:33:44,2023-04-24 17:34:07,10.0,1,aluno 21,81,Questão 3,False,True
22,82,9141,1682357945,,0,1682357960,1.000.000,0,0,1,0,2023-04-24 17:39:05,2023-04-24 17:39:20,10.0,1,aluno 21,82,Questão 4,False,True
22,83,9212,1682358245,,0,1682358263,1.000.000,0,0,4,0,2023-04-24 17:44:05,2023-04-24 17:44:23,10.0,4,aluno 21,83,Questão 5,False,True
22,84,9298,1682358628,,0,1682358651,1.000.000,0,0,1,0,2023-04-24 17:50:28,2023-04-24 17:50:51,10.0,1,aluno 21,84,Questão 6,False,True
22,85,9445,1682359290,,0,1682359296,1.000.000,0,0,2,0,2023-04-24 18:01:30,2023-04-24 18:01:36,10.0,2,aluno 21,85,Questão 7,False,True
22,86,11817,1682713151,,0,1682713165,1.000.000,0,0,3,0,2023-04-28 20:19:11,2023-04-28 20:19:25,10.0,4,aluno 21,86,Questão 8,False,True
22,87,12219,1682714955,,0,1682714959,1.000.000,0,0,7,0,2023-04-28 20:49:15,2023-04-28 20:49:19,10.0,7,aluno 21,87,Questão 9,False,True
22,88,15610,1683286490,,0,1683286507,1.000.000,0,0,1,0,2023-05-05 11:34:50,2023-05-05 11:35:07,10.0,1,aluno 21,88,Questão 10,False,True
22,90,15633,1683287406,,0,1683287409,1.000.000,0,0,2,0,2023-05-05 11:50:06,2023-05-05 11:50:09,10.0,5,aluno 21,90,Questão 11,False,True
22,91,15699,1683289391,,0,1683289395,1.000.000,0,0,2,0,2023-05-05 12:23:11,2023-05-05 12:23:15,10.0,5,aluno 21,91,Questão 12,False,True
22,94,16415,1683548582,,0,1683548592,10.000.000,0,0,3,0,2023-05-08 12:23:02,2023-05-08 12:23:12,10.0,3,aluno 21,94,Questão 18,True,False
