USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,DATEGRADED,GRADE,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO,NOME
18,103,20845,1684437008,,1684437013,1.000.000,2023-05-18 19:10:08,2023-05-18 19:10:13,10.0,10,103,Questão 1,False,True,Aluno 31
18,104,21127,1684496794,,1684496802,1.000.000,2023-05-19 11:46:34,2023-05-19 11:46:42,10.0,13,104,Questão 2,False,True,Aluno 31
18,105,21139,1684498091,,1684498105,1.000.000,2023-05-19 12:08:11,2023-05-19 12:08:25,10.0,3,105,Questão 3,False,True,Aluno 31
18,106,21158,1684499593,,1684499617,1.000.000,2023-05-19 12:33:13,2023-05-19 12:33:37,10.0,6,106,Questão 4,False,True,Aluno 31
18,107,21194,1684502231,,1684502282,1.000.000,2023-05-19 13:17:11,2023-05-19 13:18:02,10.0,5,107,Questão 5,False,True,Aluno 31
18,108,21436,1684527825,,1684527844,1.000.000,2023-05-19 20:23:45,2023-05-19 20:24:04,10.0,4,108,Questão 6,False,True,Aluno 31
18,109,22980,1684704120,,1684704214,1.000.000,2023-05-21 21:22:00,2023-05-21 21:23:34,10.0,16,109,Questão 7,False,True,Aluno 31
18,110,22999,1684704870,,1684704880,1.000.000,2023-05-21 21:34:30,2023-05-21 21:34:40,10.0,4,110,Questão 8,False,True,Aluno 31
18,111,23070,1684708730,,1684708734,1.000.000,2023-05-21 22:38:50,2023-05-21 22:38:54,10.0,7,111,Questão 9,False,True,Aluno 31
20,103,20618,1684407258,,1684407264,1.000.000,2023-05-18 10:54:18,2023-05-18 10:54:24,10.0,9,103,Questão 1,False,True,Aluno 06
20,104,20633,1684408787,,1684408802,1.000.000,2023-05-18 11:19:47,2023-05-18 11:20:02,10.0,6,104,Questão 2,False,True,Aluno 06
20,105,20635,1684410307,,1684410310,1.000.000,2023-05-18 11:45:07,2023-05-18 11:45:10,10.0,2,105,Questão 3,False,True,Aluno 06
20,106,21340,1684526677,,1684526696,1.000.000,2023-05-19 20:04:37,2023-05-19 20:04:56,10.0,2,106,Questão 4,False,True,Aluno 06
20,107,21427,1684527749,,1684527753,1.000.000,2023-05-19 20:22:29,2023-05-19 20:22:33,10.0,7,107,Questão 5,False,True,Aluno 06
20,108,27104,1686179682,,1686179686,1.000.000,2023-06-07 23:14:42,2023-06-07 23:14:46,10.0,62,108,Questão 6,True,False,Aluno 06
20,109,27055,1685987464,,1685987494,1.000.000,2023-06-05 17:51:04,2023-06-05 17:51:34,10.0,8,109,Questão 7,True,False,Aluno 06
20,110,27108,1686182598,,1686182609,1.000.000,2023-06-08 00:03:18,2023-06-08 00:03:29,10.0,16,110,Questão 8,True,False,Aluno 06
20,111,27109,1686183372,,1686183376,1.000.000,2023-06-08 00:16:12,2023-06-08 00:16:16,10.0,5,111,Questão 9,True,False,Aluno 06
21,103,19966,1684170805,,1684170809,1.000.000,2023-05-15 17:13:25,2023-05-15 17:13:29,10.0,4,103,Questão 1,False,True,Aluno 30
21,104,19992,1684171342,,1684171346,1.000.000,2023-05-15 17:22:22,2023-05-15 17:22:26,10.0,5,104,Questão 2,False,True,Aluno 30
21,105,20017,1684171582,,1684171591,1.000.000,2023-05-15 17:26:22,2023-05-15 17:26:31,10.0,3,105,Questão 3,False,True,Aluno 30
21,106,20027,1684171783,,1684171787,1.000.000,2023-05-15 17:29:43,2023-05-15 17:29:47,10.0,4,106,Questão 4,False,True,Aluno 30
21,107,20058,1684172365,,1684172369,1.000.000,2023-05-15 17:39:25,2023-05-15 17:39:29,10.0,4,107,Questão 5,False,True,Aluno 30
21,108,23927,1684775233,,1684775244,1.000.000,2023-05-22 17:07:13,2023-05-22 17:07:24,10.0,57,108,Questão 6,False,True,Aluno 30
21,109,24561,1684799442,,1684799591,1.000.000,2023-05-22 23:50:42,2023-05-22 23:53:11,10.0,13,109,Questão 7,False,True,Aluno 30
21,110,24622,1684801987,,1684801991,0,2023-05-23 00:33:07,2023-05-23 00:33:11,0.0,5,110,Questão 8,False,True,Aluno 30
21,111,24719,1684806259,,1684806263,1.000.000,2023-05-23 01:44:19,2023-05-23 01:44:23,10.0,12,111,Questão 9,False,True,Aluno 30
22,103,19822,1684169676,,1684169695,1.000.000,2023-05-15 16:54:36,2023-05-15 16:54:55,10.0,4,103,Questão 1,False,True,Aluno 21
22,104,20251,1684328578,,1684328592,1.000.000,2023-05-17 13:02:58,2023-05-17 13:03:12,10.0,5,104,Questão 2,False,True,Aluno 21
22,105,20268,1684328945,,1684329550,1.000.000,2023-05-17 13:09:05,2023-05-17 13:19:10,10.0,3,105,Questão 3,False,True,Aluno 21
22,106,20305,1684329811,,1684329827,1.000.000,2023-05-17 13:23:31,2023-05-17 13:23:47,10.0,1,106,Questão 4,False,True,Aluno 21
22,107,20393,1684333585,,1684333607,1.000.000,2023-05-17 14:26:25,2023-05-17 14:26:47,10.0,2,107,Questão 5,False,True,Aluno 21
22,108,21117,1684495434,,1684495477,1.000.000,2023-05-19 11:23:54,2023-05-19 11:24:37,10.0,7,108,Questão 6,False,True,Aluno 21
22,109,21121,1684496127,,1684496134,1.000.000,2023-05-19 11:35:27,2023-05-19 11:35:34,10.0,4,109,Questão 7,False,True,Aluno 21
22,110,21131,1684497724,,1684497734,1.000.000,2023-05-19 12:02:04,2023-05-19 12:02:14,10.0,5,110,Questão 8,False,True,Aluno 21
22,111,21141,1684498199,,1684498209,1.000.000,2023-05-19 12:09:59,2023-05-19 12:10:09,10.0,5,111,Questão 9,False,True,Aluno 21
23,103,20211,1684326247,,1684326260,1.000.000,2023-05-17 12:24:07,2023-05-17 12:24:20,10.0,15,103,Questão 1,False,True,Aluno 32
23,104,21000,1684453327,,1684453352,1.000.000,2023-05-18 23:42:07,2023-05-18 23:42:32,10.0,5,104,Questão 2,False,True,Aluno 32
23,105,21007,1684453598,,1684453612,1.000.000,2023-05-18 23:46:38,2023-05-18 23:46:52,10.0,3,105,Questão 3,False,True,Aluno 32
23,106,21013,1684453786,,1684453809,1.000.000,2023-05-18 23:49:46,2023-05-18 23:50:09,10.0,2,106,Questão 4,False,True,Aluno 32
23,107,21044,1684455951,,1684455956,1.000.000,2023-05-19 00:25:51,2023-05-19 00:25:56,10.0,16,107,Questão 5,False,True,Aluno 32
23,108,21713,1684531478,,1684531494,1.000.000,2023-05-19 21:24:38,2023-05-19 21:24:54,10.0,31,108,Questão 6,False,True,Aluno 32
23,109,21808,1684552624,,1684552628,1.000.000,2023-05-20 03:17:04,2023-05-20 03:17:08,10.0,2,109,Questão 7,False,True,Aluno 32
23,110,21809,1684553108,,1684553133,1.000.000,2023-05-20 03:25:08,2023-05-20 03:25:33,10.0,1,110,Questão 8,False,True,Aluno 32
23,111,21811,1684554104,,1684554118,1.000.000,2023-05-20 03:41:44,2023-05-20 03:41:58,10.0,2,111,Questão 9,False,True,Aluno 32
25,103,22098,1684614383,,1684614387,1.000.000,2023-05-20 20:26:23,2023-05-20 20:26:27,10.0,3,103,Questão 1,False,True,Aluno 04
25,104,22263,1684616256,,1684616275,1.000.000,2023-05-20 20:57:36,2023-05-20 20:57:55,10.0,17,104,Questão 2,False,True,Aluno 04
